0.75 0.006425940332334024 0.004088401495165366 18
1.5 0.0299560449066867 0.0591908844643764 62
2.25 0.0473217559809183 0.2298348335668428 98
3 0.1152287518468625 0.7936700402534198 210
3.75 0.1904154913897247 2.420893601624407 350
4.5 0.2383372963714593 5.044377842053384 450
5.25 0.3403519399384818 10.09620999226064 602
6 0.4414866321053406 15.33757375385426 762
6.75 0.613138622794678 29.35950639472985 1142
7.5 0.7075811395196652 39.20872560076387 1250
8.25 0.7762503364757698 54.69988200246632 1458
9 1.032118526955073 83.78002618962314 1814
9.75 1.227221722861128 115.7821090451374 2178
10.5 1.387935749440787 151.5287838312496 2498
11.25 1.467319159554702 182.5413218707985 2622
12 1.873542804070744 247.6774203071715 3338
12.75 2.060832900082609 330.2095660682149 3722
13.5 2.31469264979297 390.8736194188393 4170
14.25 2.38967291090513 485.0128617981809 4358
15 2.927364382771391 641.0821600411374 5034
15.75 3.308655014727296 747.4259205982739 5714
16.5 3.226962055957801 896.4209155137671 5982
17.25 3.601920762053579 1088.326324753371 6602
18 4.116521618099144 1271.309737940664 7130
18.75 4.353821196002209 1583.93046097558 8034
19.5 4.920007193990448 1784.141710725776 8606
20.25 5.137568588445276 2070.102517312169 9066
21 5.659816114468587 2450.118157331802 9962
21.75 5.958596478443618 2686.246336229636 10550
22.5 6.361656794168229 3164.870211889332 11226
23.25 6.964529686381882 3635.360477519515 12146
24 6.981155251377496 3982.36975657735 12303
24.75 7.082271026239453 4230.853896943549 12584
25.5 7.020357261999882 4256.556032706884 12120
26.25 6.377156465805137 4248.421142593148 11180
27 6.338167783823619 4543.916975311076 11096
27.75 5.707490524462619 4314.582902144401 10056
28.5 5.555174642733685 4425.363829335069 9716
29.25 4.846001856958473 4127.391371848806 8604
30 4.593763704251447 3909.456523064187 8060
30.75 4.127606728704707 3690.415164757205 7320
31.5 3.637243264614197 3334.891538012427 6356
32.25 3.0293986743099 3023.464210654246 5348
33 2.462092147175326 2564.407196673112 4308
33.75 1.964948911889954 2110.405644696305 3563
34.5 1.427839293183514 1479.155656365821 2448
35.25 1.133262204114114 1150.139558000133 1868
36 0.8147514825579905 947.2834755052253 1358
36.75 0.5897782412198611 751.7213085859855 1062
37.5 0.4175270125412266 555.9837526484904 776
38.25 0.2237952276996165 305.1886586822562 432
39 0.0949741784825138 140.3394920136988 200
39.75 0.101681656584293 131.3600847067255 168
40.5 0.03120138335360417 44.77766338782521 56
41.25 0.006106690330646051 0.9892730214509078 7
